sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Soil-A,Soil,1,1,1,OLS,-0.4660580507979162,0.012469107324069473,8,True
Soil-A,Soil,1,1,2,OLS,0.03864846263681787,0.012469107324069473,8,True
Soil-A,Soil,1,1,3,OLS,0.049838573110158935,0.012469107324069473,8,True
Soil-A,Soil,1,1,4,OLS,0.06463631113134127,0.012469107324069473,8,True
Soil-A,Soil,1,1,5,OLS,0.05073108138087701,0.012469107324069473,8,True
Soil-A,Soil,1,1,6,OLS,-0.05485327228844317,0.012469107324069473,8,True
Soil-A,Soil,1,1,7,OLS,0.014536135874471667,0.012469107324069473,8,True
Soil-A,Soil,1,1,8,OLS,-0.017570012149735525,0.012469107324069473,8,True
Soil-A,Soil,1,1,1,OLS_raw,-0.032578269611556854,0.1735036614004023,8,True
Soil-A,Soil,1,1,2,OLS_raw,0.2850075055500222,0.1735036614004023,8,True
Soil-A,Soil,1,1,3,OLS_raw,0.3122849002779571,0.1735036614004023,8,True
Soil-A,Soil,1,1,4,OLS_raw,0.3005975540705961,0.1735036614004023,8,True
Soil-A,Soil,1,1,5,OLS_raw,-0.04284888639529738,0.1735036614004023,8,True
Soil-A,Soil,1,1,6,OLS_raw,-0.08002535896446639,0.1735036614004023,8,True
Soil-A,Soil,1,1,7,OLS_raw,0.09698970209617586,0.1735036614004023,8,True
Soil-A,Soil,1,1,8,OLS_raw,0.19771077366788403,0.1735036614004023,8,True
Soil-A,Soil,1,1,1,endpoint,-0.15342274498890163,0.030628423397433102,8,True
Soil-A,Soil,1,1,2,endpoint,0.029303299356838286,0.030628423397433102,8,True
Soil-A,Soil,1,1,3,endpoint,0.04691340434669544,0.030628423397433102,8,True
Soil-A,Soil,1,1,4,endpoint,0.05313985393059473,0.030628423397433102,8,True
Soil-A,Soil,1,1,5,endpoint,0.04816961196733838,0.030628423397433102,8,True
Soil-A,Soil,1,1,6,endpoint,-0.05030154127095132,0.030628423397433102,8,True
Soil-A,Soil,1,1,7,endpoint,0.030983831412103147,0.030628423397433102,8,True
Soil-A,Soil,1,1,8,endpoint,0.019042915782789716,0.030628423397433102,8,True
Soil-A,Soil,1,1,1,linextrap,-1.0500514760145703,-1.5589195832295308,8,True
Soil-A,Soil,1,1,2,linextrap,-1.9287771950018007,-1.5589195832295308,8,True
Soil-A,Soil,1,1,3,linextrap,-1.997471612898369,-1.5589195832295308,8,True
Soil-A,Soil,1,1,4,linextrap,-1.694860508713814,-1.5589195832295308,8,True
Soil-A,Soil,1,1,5,linextrap,-1.643111403243378,-1.5589195832295308,8,True
Soil-A,Soil,1,1,6,linextrap,-1.1443794964297722,-1.5589195832295308,8,True
Soil-A,Soil,1,1,7,linextrap,-1.2261311115000195,-1.5589195832295308,8,True
Soil-A,Soil,1,1,8,linextrap,-0.920155771752766,-1.5589195832295308,8,True
Soil-A,Soil,1,2,1,OLS,0.021704885215716785,0.0014785903998556504,5,True
Soil-A,Soil,1,2,2,OLS,,0.0014785903998556504,5,True
Soil-A,Soil,1,2,3,OLS,,0.0014785903998556504,5,True
Soil-A,Soil,1,2,4,OLS,,0.0014785903998556504,5,True
Soil-A,Soil,1,2,5,OLS,-6.207934230394224,0.0014785903998556504,5,True
Soil-A,Soil,1,2,6,OLS,0.030255381686613014,0.0014785903998556504,5,True
Soil-A,Soil,1,2,7,OLS,,0.0014785903998556504,5,True
