sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Soil-B,Soil,1,1,1,OLS,0.32099810277768437,0.21110506561000197,8,True
Soil-B,Soil,1,1,2,OLS,0.16218170560400758,0.21110506561000197,8,True
Soil-B,Soil,1,1,3,OLS,0.20082117255654153,0.21110506561000197,8,True
Soil-B,Soil,1,1,4,OLS,0.30172179700198953,0.21110506561000197,8,True
Soil-B,Soil,1,1,5,OLS,0.2042190726357842,0.21110506561000197,8,True
Soil-B,Soil,1,1,6,OLS,0.06744781941979083,0.21110506561000197,8,True
Soil-B,Soil,1,1,7,OLS,-1.306520254167428,0.21110506561000197,8,True
Soil-B,Soil,1,1,8,OLS,-22.57123155518382,0.21110506561000197,8,True
Soil-B,Soil,1,1,1,OLS_raw,0.21764231675848633,0.20490822770295003,8,True
Soil-B,Soil,1,1,2,OLS_raw,0.26462704259155323,0.20490822770295003,8,True
Soil-B,Soil,1,1,3,OLS_raw,0.18614398657475195,0.20490822770295003,8,True
Soil-B,Soil,1,1,4,OLS_raw,0.2351993056873608,0.20490822770295003,8,True
Soil-B,Soil,1,1,5,OLS_raw,0.2781673838755433,0.20490822770295003,8,True
Soil-B,Soil,1,1,6,OLS_raw,0.15072432628428878,0.20490822770295003,8,True
Soil-B,Soil,1,1,7,OLS_raw,-1.4213115973973776,0.20490822770295003,8,True
Soil-B,Soil,1,1,8,OLS_raw,-38.41944728179568,0.20490822770295003,8,True
Soil-B,Soil,1,1,1,endpoint,0.061004621236132595,0.006024531857550031,8,True
Soil-B,Soil,1,1,2,endpoint,0.055256725617983005,0.006024531857550031,8,True
Soil-B,Soil,1,1,3,endpoint,0.03615464193772722,0.006024531857550031,8,True
Soil-B,Soil,1,1,4,endpoint,0.05713724461126701,0.006024531857550031,8,True
Soil-B,Soil,1,1,5,endpoint,0.051579507505697064,0.006024531857550031,8,True
Soil-B,Soil,1,1,6,endpoint,0.06350740414201872,0.006024531857550031,8,True
Soil-B,Soil,1,1,7,endpoint,-4.215703349356041,0.006024531857550031,8,True
Soil-B,Soil,1,1,8,endpoint,-104.96078179808323,0.006024531857550031,8,True
Soil-B,Soil,1,1,1,linextrap,-1.9460009233675808,-1.9088910280765017,8,True
Soil-B,Soil,1,1,2,linextrap,-1.7852970953170706,-1.9088910280765017,8,True
Soil-B,Soil,1,1,3,linextrap,-1.9908616151010956,-1.9088910280765017,8,True
Soil-B,Soil,1,1,4,linextrap,-1.942041032272888,-1.9088910280765017,8,True
Soil-B,Soil,1,1,5,linextrap,-1.9094846438364286,-1.9088910280765017,8,True
Soil-B,Soil,1,1,6,linextrap,-1.8199433438022088,-1.9088910280765017,8,True
Soil-B,Soil,1,1,7,linextrap,-1.2548713808021903,-1.9088910280765017,8,True
Soil-B,Soil,1,1,8,linextrap,-2.0,-1.9088910280765017,8,True
Soil-B,Soil,1,2,1,OLS,0.27788541557356394,0.24283342873780434,8,True
Soil-B,Soil,1,2,2,OLS,0.26895538848012057,0.24283342873780434,8,True
Soil-B,Soil,1,2,3,OLS,0.2911588371768167,0.24283342873780434,8,True
Soil-B,Soil,1,2,4,OLS,0.24240085152670066,0.24283342873780434,8,True
Soil-B,Soil,1,2,5,OLS,0.18855641931962808,0.24283342873780434,8,True
Soil-B,Soil,1,2,6,OLS,0.311538674492399,0.24283342873780434,8,True
Soil-B,Soil,1,2,7,OLS,0.23643227132486788,0.24283342873780434,8,True
Soil-B,Soil,1,2,8,OLS,0.15098160648539127,0.24283342873780434,8,True
Soil-B,Soil,1,2,1,OLS_raw,0.290134863072424,0.2511265829651459,8,True
Soil-B,Soil,1,2,2,OLS_raw,0.2537078720383914,0.2511265829651459,8,True
Soil-B,Soil,1,2,3,OLS_raw,0.3471956398854368,0.2511265829651459,8,True
Soil-B,Soil,1,2,4,OLS_raw,0.26560191931124644,0.2511265829651459,8,True
Soil-B,Soil,1,2,5,OLS_raw,0.2245005994735686,0.2511265829651459,8,True
Soil-B,Soil,1,2,6,OLS_raw,0.31665616455348344,0.2511265829651459,8,True
Soil-B,Soil,1,2,7,OLS_raw,0.20167002211096674,0.2511265829651459,8,True
Soil-B,Soil,1,2,8,OLS_raw,0.1681675669600492,0.2511265829651459,8,True
Soil-B,Soil,1,2,1,endpoint,0.23715590603747383,0.17665870371201153,8,True
Soil-B,Soil,1,2,2,endpoint,0.2127186047594113,0.17665870371201153,8,True
Soil-B,Soil,1,2,3,endpoint,0.2646863117818561,0.17665870371201153,8,True
Soil-B,Soil,1,2,4,endpoint,0.2608235481175528,0.17665870371201153,8,True
Soil-B,Soil,1,2,5,endpoint,0.12722582811362482,0.17665870371201153,8,True
Soil-B,Soil,1,2,6,endpoint,0.2306015464164327,0.17665870371201153,8,True
Soil-B,Soil,1,2,7,endpoint,0.08212600794950131,0.17665870371201153,8,True
Soil-B,Soil,1,2,8,endpoint,0.09565948360637722,0.17665870371201153,8,True
Soil-B,Soil,1,2,1,linextrap,-1.8449192620643116,-1.7655512283404766,8,True
Soil-B,Soil,1,2,2,linextrap,-1.8094843360347452,-1.7655512283404766,8,True
Soil-B,Soil,1,2,3,linextrap,-2.025814042858934,-1.7655512283404766,8,True
Soil-B,Soil,1,2,4,linextrap,-1.6441965715801965,-1.7655512283404766,8,True
Soil-B,Soil,1,2,5,linextrap,-1.8700194820480633,-1.7655512283404766,8,True
Soil-B,Soil,1,2,6,linextrap,-1.8361495755530353,-1.7655512283404766,8,True
Soil-B,Soil,1,2,7,linextrap,-1.7098771781944984,-1.7655512283404766,8,True
Soil-B,Soil,1,2,8,linextrap,-1.4118110854708408,-1.7655512283404766,8,True
Soil-B,Soil,1,3,1,OLS,0.2301711782938658,0.17058790772632026,8,True
Soil-B,Soil,1,3,2,OLS,0.13317756754132704,0.17058790772632026,8,True
Soil-B,Soil,1,3,3,OLS,0.31234871056094293,0.17058790772632026,8,True
Soil-B,Soil,1,3,4,OLS,0.1159740254331697,0.17058790772632026,8,True
Soil-B,Soil,1,3,5,OLS,0.26305741082611367,0.17058790772632026,8,True
Soil-B,Soil,1,3,6,OLS,-0.15457539241763074,0.17058790772632026,8,True
Soil-B,Soil,1,3,7,OLS,0.30317247780547063,0.17058790772632026,8,True
Soil-B,Soil,1,3,8,OLS,-0.0026183476612917644,0.17058790772632026,8,True
Soil-B,Soil,1,3,1,OLS_raw,0.040883907039956036,0.18071878536390673,8,True
Soil-B,Soil,1,3,2,OLS_raw,0.31393968786580795,0.18071878536390673,8,True
Soil-B,Soil,1,3,3,OLS_raw,0.43708715607285265,0.18071878536390673,8,True
Soil-B,Soil,1,3,4,OLS_raw,0.2464175830970281,0.18071878536390673,8,True
Soil-B,Soil,1,3,5,OLS_raw,0.365184712114095,0.18071878536390673,8,True
Soil-B,Soil,1,3,6,OLS_raw,0.15471173335870325,0.18071878536390673,8,True
Soil-B,Soil,1,3,7,OLS_raw,0.32665715646166193,0.18071878536390673,8,True
Soil-B,Soil,1,3,8,OLS_raw,-0.09049341578439618,0.18071878536390673,8,True
Soil-B,Soil,1,3,1,endpoint,0.05969860405025618,0.021352006274744317,8,True
Soil-B,Soil,1,3,2,endpoint,0.03395422340575782,0.021352006274744317,8,True
Soil-B,Soil,1,3,3,endpoint,0.06735222966456778,0.021352006274744317,8,True
Soil-B,Soil,1,3,4,endpoint,0.05075485316489392,0.021352006274744317,8,True
Soil-B,Soil,1,3,5,endpoint,0.06523323826911409,0.021352006274744317,8,True
Soil-B,Soil,1,3,6,endpoint,0.034264076396760657,0.021352006274744317,8,True
Soil-B,Soil,1,3,7,endpoint,0.047430925435902105,0.021352006274744317,8,True
Soil-B,Soil,1,3,8,endpoint,-0.1466627663849045,0.021352006274744317,8,True
Soil-B,Soil,1,3,1,linextrap,-1.7223281316305523,-1.7714565860028695,8,True
Soil-B,Soil,1,3,2,linextrap,-1.755830996261559,-1.7714565860028695,8,True
Soil-B,Soil,1,3,3,linextrap,-1.9057617100488948,-1.7714565860028695,8,True
Soil-B,Soil,1,3,4,linextrap,-2.127958379771797,-1.7714565860028695,8,True
Soil-B,Soil,1,3,5,linextrap,-1.6975912300115237,-1.7714565860028695,8,True
Soil-B,Soil,1,3,6,linextrap,-1.9550106235890343,-1.7714565860028695,8,True
Soil-B,Soil,1,3,7,linextrap,-1.8146626536704473,-1.7714565860028695,8,True
Soil-B,Soil,1,3,8,linextrap,-1.5380981595457235,-1.7714565860028695,8,True
Soil-B,Soil,1,4,1,OLS,,-0.11432646881631259,2,False
Soil-B,Soil,1,4,2,OLS,,-0.11432646881631259,2,False
Soil-B,Soil,1,4,3,OLS,,-0.11432646881631259,2,False
Soil-B,Soil,1,4,4,OLS,,-0.11432646881631259,2,False
Soil-B,Soil,1,4,5,OLS,,-0.11432646881631259,2,False
Soil-B,Soil,1,4,6,OLS,-0.010654853501160577,-0.11432646881631259,2,False
Soil-B,Soil,1,4,7,OLS,-0.11970077972667803,-0.11432646881631259,2,False
