sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Soil-C,Soil,1,1,1,OLS,0.301775822604856,0.21624664981148056,8,True
Soil-C,Soil,1,1,2,OLS,0.027209659598986802,0.21624664981148056,8,True
Soil-C,Soil,1,1,3,OLS,0.03770679392438525,0.21624664981148056,8,True
Soil-C,Soil,1,1,4,OLS,0.29484089853688966,0.21624664981148056,8,True
Soil-C,Soil,1,1,5,OLS,0.24762793478964962,0.21624664981148056,8,True
Soil-C,Soil,1,1,6,OLS,0.2580819911917094,0.21624664981148056,8,True
Soil-C,Soil,1,1,7,OLS,0.23382979547662763,0.21624664981148056,8,True
Soil-C,Soil,1,1,8,OLS,0.20675610411988654,0.21624664981148056,8,True
Soil-C,Soil,1,1,1,OLS_raw,0.33938588154256943,0.21639907210057374,8,True
Soil-C,Soil,1,1,2,OLS_raw,0.03185269901227861,0.21639907210057374,8,True
Soil-C,Soil,1,1,3,OLS_raw,0.019294862088700238,0.21639907210057374,8,True
Soil-C,Soil,1,1,4,OLS_raw,0.15817545410812017,0.21639907210057374,8,True
Soil-C,Soil,1,1,5,OLS_raw,0.2857084184548975,0.21639907210057374,8,True
Soil-C,Soil,1,1,6,OLS_raw,0.273975978952547,0.21639907210057374,8,True
Soil-C,Soil,1,1,7,OLS_raw,0.28426162842895564,0.21639907210057374,8,True
Soil-C,Soil,1,1,8,OLS_raw,0.28186861386051143,0.21639907210057374,8,True
Soil-C,Soil,1,1,1,endpoint,0.12369036741710815,0.08664018211435898,8,True
Soil-C,Soil,1,1,2,endpoint,0.0721311926255973,0.08664018211435898,8,True
Soil-C,Soil,1,1,3,endpoint,-0.3491083584417445,0.08664018211435898,8,True
Soil-C,Soil,1,1,4,endpoint,0.13778898382895466,0.08664018211435898,8,True
Soil-C,Soil,1,1,5,endpoint,0.09901320736393993,0.08664018211435898,8,True
Soil-C,Soil,1,1,6,endpoint,0.10437460612714022,0.08664018211435898,8,True
Soil-C,Soil,1,1,7,endpoint,0.1629123688266162,0.08664018211435898,8,True
Soil-C,Soil,1,1,8,endpoint,0.14375909667635245,0.08664018211435898,8,True
Soil-C,Soil,1,1,1,linextrap,-1.9187874758243102,-1.7791075126168305,8,True
Soil-C,Soil,1,1,2,linextrap,-1.809328641984623,-1.7791075126168305,8,True
Soil-C,Soil,1,1,3,linextrap,-1.5540325286724284,-1.7791075126168305,8,True
Soil-C,Soil,1,1,4,linextrap,-1.7680790583390973,-1.7791075126168305,8,True
Soil-C,Soil,1,1,5,linextrap,-2.0020998398044694,-1.7791075126168305,8,True
Soil-C,Soil,1,1,6,linextrap,-1.7773007387818858,-1.7791075126168305,8,True
Soil-C,Soil,1,1,7,linextrap,-1.6522435704408025,-1.7791075126168305,8,True
Soil-C,Soil,1,1,8,linextrap,-1.649792314077517,-1.7791075126168305,8,True
Soil-C,Soil,1,2,1,OLS,0.4246687385602884,0.3224972264122502,5,True
Soil-C,Soil,1,2,2,OLS,-0.033964390190660554,0.3224972264122502,5,True
Soil-C,Soil,1,2,3,OLS,-1.2565711525377639,0.3224972264122502,5,True
Soil-C,Soil,1,2,4,OLS,,0.3224972264122502,5,True
Soil-C,Soil,1,2,5,OLS,,0.3224972264122502,5,True
Soil-C,Soil,1,2,6,OLS,0.3634522937103989,0.3224972264122502,5,True
Soil-C,Soil,1,2,7,OLS,,0.3224972264122502,5,True
Soil-C,Soil,1,2,8,OLS,0.2573763266878608,0.3224972264122502,5,True
Soil-C,Soil,1,2,1,OLS_raw,0.34961711874699153,0.08024608777563091,5,True
Soil-C,Soil,1,2,2,OLS_raw,0.09657358152208684,0.08024608777563091,5,True
Soil-C,Soil,1,2,3,OLS_raw,-0.9274578310488568,0.08024608777563091,5,True
Soil-C,Soil,1,2,4,OLS_raw,,0.08024608777563091,5,True
Soil-C,Soil,1,2,5,OLS_raw,,0.08024608777563091,5,True
Soil-C,Soil,1,2,6,OLS_raw,0.06548247257163708,0.08024608777563091,5,True
Soil-C,Soil,1,2,7,OLS_raw,,0.08024608777563091,5,True
Soil-C,Soil,1,2,8,OLS_raw,-0.2499321754360031,0.08024608777563091,5,True
Soil-C,Soil,1,2,1,endpoint,0.027618463942304272,0.008605281344969185,5,True
Soil-C,Soil,1,2,2,endpoint,0.002904768851429318,0.008605281344969185,5,True
Soil-C,Soil,1,2,3,endpoint,-0.4125448216998764,0.008605281344969185,5,True
Soil-C,Soil,1,2,4,endpoint,,0.008605281344969185,5,True
Soil-C,Soil,1,2,5,endpoint,,0.008605281344969185,5,True
Soil-C,Soil,1,2,6,endpoint,0.019860802988142523,0.008605281344969185,5,True
Soil-C,Soil,1,2,7,endpoint,,0.008605281344969185,5,True
Soil-C,Soil,1,2,8,endpoint,0.023110867160581194,0.008605281344969185,5,True
Soil-C,Soil,1,2,1,linextrap,-2.1852355749789925,-1.9812281413907136,5,True
Soil-C,Soil,1,2,2,linextrap,-1.6992035090038078,-1.9812281413907136,5,True
Soil-C,Soil,1,2,3,linextrap,-1.1702625837844103,-1.9812281413907136,5,True
Soil-C,Soil,1,2,4,linextrap,,-1.9812281413907136,5,True
Soil-C,Soil,1,2,5,linextrap,,-1.9812281413907136,5,True
Soil-C,Soil,1,2,6,linextrap,-2.008347366817729,-1.9812281413907136,5,True
Soil-C,Soil,1,2,7,linextrap,,-1.9812281413907136,5,True
Soil-C,Soil,1,2,8,linextrap,-1.7602036472521934,-1.9812281413907136,5,True
Soil-C,Soil,1,3,1,OLS,0.3643202971341033,0.2800724265924769,8,True
Soil-C,Soil,1,3,2,OLS,0.27321021998975803,0.2800724265924769,8,True
Soil-C,Soil,1,3,3,OLS,0.21418259894648317,0.2800724265924769,8,True
Soil-C,Soil,1,3,4,OLS,-0.13281917767562512,0.2800724265924769,8,True
Soil-C,Soil,1,3,5,OLS,0.2723526616426364,0.2800724265924769,8,True
Soil-C,Soil,1,3,6,OLS,-0.33677569419579023,0.2800724265924769,8,True
Soil-C,Soil,1,3,7,OLS,0.3175277944606075,0.2800724265924769,8,True
Soil-C,Soil,1,3,8,OLS,0.19888570329035138,0.2800724265924769,8,True
Soil-C,Soil,1,3,1,OLS_raw,0.34241089099992106,0.25616770449730075,8,True
Soil-C,Soil,1,3,2,OLS_raw,0.17487781080359,0.25616770449730075,8,True
Soil-C,Soil,1,3,3,OLS_raw,0.1864212835481598,0.25616770449730075,8,True
Soil-C,Soil,1,3,4,OLS_raw,0.15388697323400224,0.25616770449730075,8,True
Soil-C,Soil,1,3,5,OLS_raw,0.25681630293845426,0.25616770449730075,8,True
Soil-C,Soil,1,3,6,OLS_raw,0.09608101696521476,0.25616770449730075,8,True
Soil-C,Soil,1,3,7,OLS_raw,0.30311737541443906,0.25616770449730075,8,True
Soil-C,Soil,1,3,8,OLS_raw,0.11486837020811413,0.25616770449730075,8,True
Soil-C,Soil,1,3,1,endpoint,0.15155870781621583,0.07544683177834144,8,True
Soil-C,Soil,1,3,2,endpoint,0.14017898186231692,0.07544683177834144,8,True
Soil-C,Soil,1,3,3,endpoint,0.13901499410986906,0.07544683177834144,8,True
Soil-C,Soil,1,3,4,endpoint,-1.1979532447282164,0.07544683177834144,8,True
Soil-C,Soil,1,3,5,endpoint,0.11070055038276483,0.07544683177834144,8,True
Soil-C,Soil,1,3,6,endpoint,-1.4048749604911968,0.07544683177834144,8,True
Soil-C,Soil,1,3,7,endpoint,0.09504499964023494,0.07544683177834144,8,True
Soil-C,Soil,1,3,8,endpoint,0.019720938138337307,0.07544683177834144,8,True
Soil-C,Soil,1,3,1,linextrap,-2.0232009226627015,-1.868375545424232,8,True
Soil-C,Soil,1,3,2,linextrap,-1.6326503045934588,-1.868375545424232,8,True
Soil-C,Soil,1,3,3,linextrap,-1.515988621204777,-1.868375545424232,8,True
Soil-C,Soil,1,3,4,linextrap,-1.8504543662831185,-1.868375545424232,8,True
Soil-C,Soil,1,3,5,linextrap,-1.8852922965892134,-1.868375545424232,8,True
Soil-C,Soil,1,3,6,linextrap,-1.7793318912608935,-1.868375545424232,8,True
Soil-C,Soil,1,3,7,linextrap,-2.029761115084167,-1.868375545424232,8,True
Soil-C,Soil,1,3,8,linextrap,-1.6895595737882179,-1.868375545424232,8,True
Soil-C,Soil,1,4,1,OLS,0.29976173215088864,0.19620778603923772,8,True
Soil-C,Soil,1,4,2,OLS,0.19481035043386252,0.19620778603923772,8,True
Soil-C,Soil,1,4,3,OLS,0.22542467251971066,0.19620778603923772,8,True
Soil-C,Soil,1,4,4,OLS,0.24780219794514313,0.19620778603923772,8,True
Soil-C,Soil,1,4,5,OLS,0.18290336485700354,0.19620778603923772,8,True
Soil-C,Soil,1,4,6,OLS,0.19058328694766957,0.19620778603923772,8,True
Soil-C,Soil,1,4,7,OLS,0.27970787375799244,0.19620778603923772,8,True
Soil-C,Soil,1,4,8,OLS,0.13944883036389621,0.19620778603923772,8,True
Soil-C,Soil,1,4,1,OLS_raw,0.3614043546113589,0.18781277556769982,8,True
Soil-C,Soil,1,4,2,OLS_raw,0.1743384074808858,0.18781277556769982,8,True
Soil-C,Soil,1,4,3,OLS_raw,0.23091708563636504,0.18781277556769982,8,True
Soil-C,Soil,1,4,4,OLS_raw,0.2983794785431956,0.18781277556769982,8,True
Soil-C,Soil,1,4,5,OLS_raw,0.1748548660719167,0.18781277556769982,8,True
Soil-C,Soil,1,4,6,OLS_raw,-0.1604391756331196,0.18781277556769982,8,True
Soil-C,Soil,1,4,7,OLS_raw,0.109575700268846,0.18781277556769982,8,True
Soil-C,Soil,1,4,8,OLS_raw,0.29480996876663856,0.18781277556769982,8,True
Soil-C,Soil,1,4,1,endpoint,0.1263362140555785,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,2,endpoint,0.13728764224784085,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,3,endpoint,0.1436543058622407,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,4,endpoint,-0.026217928738955454,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,5,endpoint,-0.05406831489166164,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,6,endpoint,-0.13245804658507776,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,7,endpoint,-0.048593590581466506,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,8,endpoint,-0.16630770165804165,-0.0067959367759777844,8,True
Soil-C,Soil,1,4,1,linextrap,-1.7288748836905126,-1.675858192787536,8,True
Soil-C,Soil,1,4,2,linextrap,-1.4956988244948484,-1.675858192787536,8,True
Soil-C,Soil,1,4,3,linextrap,-1.2822349753835631,-1.675858192787536,8,True
Soil-C,Soil,1,4,4,linextrap,-2.0762925733387174,-1.675858192787536,8,True
Soil-C,Soil,1,4,5,linextrap,-1.7354576232116754,-1.675858192787536,8,True
Soil-C,Soil,1,4,6,linextrap,-1.7545041537864807,-1.675858192787536,8,True
Soil-C,Soil,1,4,7,linextrap,-1.9655826965748031,-1.675858192787536,8,True
Soil-C,Soil,1,4,8,linextrap,-1.5155502408573125,-1.675858192787536,8,True
Soil-C,Soil,1,5,1,OLS,,-530.4342481610654,1,False
Soil-C,Soil,1,5,2,OLS,,-530.4342481610654,1,False
Soil-C,Soil,1,5,3,OLS,-3.8607567980182464,-530.4342481610654,1,False
Soil-C,Soil,1,5,4,OLS,-530.518934065875,-530.4342481610654,1,False
Soil-C,Soil,1,5,5,OLS,,-530.4342481610654,1,False
Soil-C,Soil,1,5,6,OLS,,-530.4342481610654,1,False
Soil-C,Soil,1,5,7,OLS,,-530.4342481610654,1,False
Soil-C,Soil,1,5,8,OLS,,-530.4342481610654,1,False
Soil-C,Soil,1,5,1,OLS_raw,,-4211.943889243557,1,False
Soil-C,Soil,1,5,2,OLS_raw,,-4211.943889243557,1,False
Soil-C,Soil,1,5,3,OLS_raw,-14.947922708691669,-4211.943889243557,1,False
Soil-C,Soil,1,5,4,OLS_raw,-4212.615398191895,-4211.943889243557,1,False
Soil-C,Soil,1,5,5,OLS_raw,,-4211.943889243557,1,False
Soil-C,Soil,1,5,6,OLS_raw,,-4211.943889243557,1,False
