sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-A,Water,1,1,1,OLS,-1.4690978523744418,-0.01844854157189535,7,True
Water-A,Water,1,1,2,OLS,0.18101979706636073,-0.01844854157189535,7,True
Water-A,Water,1,1,3,OLS,0.19737322172984584,-0.01844854157189535,7,True
Water-A,Water,1,1,4,OLS,0.162730575443786,-0.01844854157189535,7,True
Water-A,Water,1,1,5,OLS,0.1735373011804202,-0.01844854157189535,7,True
Water-A,Water,1,1,6,OLS,0.1623280264425172,-0.01844854157189535,7,True
Water-A,Water,1,1,7,OLS,,-0.01844854157189535,7,True
Water-A,Water,1,1,8,OLS,0.1612170670781118,-0.01844854157189535,7,True
Water-A,Water,1,1,1,OLS_raw,-0.710108673400532,0.2091299198474763,7,True
Water-A,Water,1,1,2,OLS_raw,0.44882522384805024,0.2091299198474763,7,True
Water-A,Water,1,1,3,OLS_raw,0.354903382031001,0.2091299198474763,7,True
Water-A,Water,1,1,4,OLS_raw,0.2499303232002208,0.2091299198474763,7,True
Water-A,Water,1,1,5,OLS_raw,0.11804052932237008,0.2091299198474763,7,True
Water-A,Water,1,1,6,OLS_raw,0.38558953071926205,0.2091299198474763,7,True
Water-A,Water,1,1,7,OLS_raw,,0.2091299198474763,7,True
Water-A,Water,1,1,8,OLS_raw,0.258399196053564,0.2091299198474763,7,True
Water-A,Water,1,1,1,endpoint,-0.002003678963285349,-0.006109355780180126,7,True
Water-A,Water,1,1,2,endpoint,0.021839584564244063,-0.006109355780180126,7,True
Water-A,Water,1,1,3,endpoint,0.03244892207891603,-0.006109355780180126,7,True
Water-A,Water,1,1,4,endpoint,0.0020682833032700243,-0.006109355780180126,7,True
Water-A,Water,1,1,5,endpoint,0.01829300384967869,-0.006109355780180126,7,True
Water-A,Water,1,1,6,endpoint,0.03267242927537051,-0.006109355780180126,7,True
Water-A,Water,1,1,7,endpoint,,-0.006109355780180126,7,True
Water-A,Water,1,1,8,endpoint,0.04059941992745242,-0.006109355780180126,7,True
Water-A,Water,1,1,1,linextrap,-1.2922834892699226,-1.783631096169013,7,True
Water-A,Water,1,1,2,linextrap,-2.016518860694298,-1.783631096169013,7,True
Water-A,Water,1,1,3,linextrap,-1.8081200183519552,-1.783631096169013,7,True
Water-A,Water,1,1,4,linextrap,-1.6710480766541491,-1.783631096169013,7,True
Water-A,Water,1,1,5,linextrap,-1.7178791444105257,-1.783631096169013,7,True
Water-A,Water,1,1,6,linextrap,-1.9615366165465553,-1.783631096169013,7,True
Water-A,Water,1,1,7,linextrap,,-1.783631096169013,7,True
Water-A,Water,1,1,8,linextrap,-1.7947806845611125,-1.783631096169013,7,True
Water-A,Water,1,2,1,OLS,-0.9706177360660035,-0.06361165714598527,6,True
Water-A,Water,1,2,2,OLS,0.1980989107243848,-0.06361165714598527,6,True
Water-A,Water,1,2,3,OLS,,-0.06361165714598527,6,True
Water-A,Water,1,2,4,OLS,0.18433697303613739,-0.06361165714598527,6,True
Water-A,Water,1,2,5,OLS,,-0.06361165714598527,6,True
Water-A,Water,1,2,6,OLS,0.18111940338743282,-0.06361165714598527,6,True
Water-A,Water,1,2,7,OLS,0.094916056768512,-0.06361165714598527,6,True
Water-A,Water,1,2,8,OLS,0.11848167720509639,-0.06361165714598527,6,True
Water-A,Water,1,2,1,OLS_raw,-0.5776920879952794,-0.06661432970786363,6,True
Water-A,Water,1,2,2,OLS_raw,0.4134434888948453,-0.06661432970786363,6,True
Water-A,Water,1,2,3,OLS_raw,,-0.06661432970786363,6,True
Water-A,Water,1,2,4,OLS_raw,0.33707208339895023,-0.06661432970786363,6,True
Water-A,Water,1,2,5,OLS_raw,,-0.06661432970786363,6,True
Water-A,Water,1,2,6,OLS_raw,0.29688915909484215,-0.06661432970786363,6,True
Water-A,Water,1,2,7,OLS_raw,-0.15900584086295622,-0.06661432970786363,6,True
Water-A,Water,1,2,8,OLS_raw,0.0506833472750311,-0.06661432970786363,6,True
Water-A,Water,1,2,1,endpoint,0.013729824799163959,0.028275423935260058,6,True
