sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-B,Water,1,1,1,OLS,0.034628032317081,0.24283797779032823,8,True
Water-B,Water,1,1,2,OLS,0.036689703876977564,0.24283797779032823,8,True
Water-B,Water,1,1,3,OLS,0.20886016594516177,0.24283797779032823,8,True
Water-B,Water,1,1,4,OLS,0.2559334148599417,0.24283797779032823,8,True
Water-B,Water,1,1,5,OLS,0.3267566731803996,0.24283797779032823,8,True
Water-B,Water,1,1,6,OLS,0.19493946266279372,0.24283797779032823,8,True
Water-B,Water,1,1,7,OLS,0.21167375079563133,0.24283797779032823,8,True
Water-B,Water,1,1,8,OLS,0.33816956715318225,0.24283797779032823,8,True
Water-B,Water,1,1,1,OLS_raw,0.05040969526416472,0.24540825021682633,8,True
Water-B,Water,1,1,2,OLS_raw,0.01469164832696046,0.24540825021682633,8,True
Water-B,Water,1,1,3,OLS_raw,0.2014103916133838,0.24540825021682633,8,True
Water-B,Water,1,1,4,OLS_raw,0.3076774019846552,0.24540825021682633,8,True
Water-B,Water,1,1,5,OLS_raw,0.37558568342611565,0.24540825021682633,8,True
Water-B,Water,1,1,6,OLS_raw,0.2438012540501574,0.24540825021682633,8,True
Water-B,Water,1,1,7,OLS_raw,0.22541391728669558,0.24540825021682633,8,True
Water-B,Water,1,1,8,OLS_raw,0.24131055690108738,0.24540825021682633,8,True
Water-B,Water,1,1,1,endpoint,0.014440270829390811,0.039158108004467285,8,True
Water-B,Water,1,1,2,endpoint,-0.05542574104265885,0.039158108004467285,8,True
Water-B,Water,1,1,3,endpoint,-0.07701584725768185,0.039158108004467285,8,True
Water-B,Water,1,1,4,endpoint,0.07172031990650951,0.039158108004467285,8,True
Water-B,Water,1,1,5,endpoint,0.07861442472607372,0.039158108004467285,8,True
Water-B,Water,1,1,6,endpoint,-0.06238954344930803,0.039158108004467285,8,True
Water-B,Water,1,1,7,endpoint,0.06421574024614352,0.039158108004467285,8,True
Water-B,Water,1,1,8,endpoint,0.08342568083441604,0.039158108004467285,8,True
Water-B,Water,1,1,1,linextrap,-1.554008134787515,-1.8315928002822885,8,True
Water-B,Water,1,1,2,linextrap,-1.5322981351631562,-1.8315928002822885,8,True
Water-B,Water,1,1,3,linextrap,-1.6379724920511722,-1.8315928002822885,8,True
Water-B,Water,1,1,4,linextrap,-1.8213915210652538,-1.8315928002822885,8,True
Water-B,Water,1,1,5,linextrap,-1.9805377813959972,-1.8315928002822885,8,True
Water-B,Water,1,1,6,linextrap,-1.7677543444412955,-1.8315928002822885,8,True
Water-B,Water,1,1,7,linextrap,-1.829179801829798,-1.8315928002822885,8,True
Water-B,Water,1,1,8,linextrap,-2.00835716893395,-1.8315928002822885,8,True
Water-B,Water,1,2,1,OLS,-0.20285262210215338,0.21910709647721627,8,True
Water-B,Water,1,2,2,OLS,0.11288350785171897,0.21910709647721627,8,True
Water-B,Water,1,2,3,OLS,0.2877283013818618,0.21910709647721627,8,True
Water-B,Water,1,2,4,OLS,0.2513200701452998,0.21910709647721627,8,True
Water-B,Water,1,2,5,OLS,0.1523738987734039,0.21910709647721627,8,True
Water-B,Water,1,2,6,OLS,0.27530115890931917,0.21910709647721627,8,True
Water-B,Water,1,2,7,OLS,0.2513345123847974,0.21910709647721627,8,True
Water-B,Water,1,2,8,OLS,0.29922740679658244,0.21910709647721627,8,True
Water-B,Water,1,2,1,OLS_raw,-0.2273933238466055,0.24079420058069256,8,True
Water-B,Water,1,2,2,OLS_raw,0.19237944213504898,0.24079420058069256,8,True
Water-B,Water,1,2,3,OLS_raw,0.25247891008921375,0.24079420058069256,8,True
Water-B,Water,1,2,4,OLS_raw,0.31616449094822807,0.24079420058069256,8,True
Water-B,Water,1,2,5,OLS_raw,0.2337379723904056,0.24079420058069256,8,True
Water-B,Water,1,2,6,OLS_raw,0.32395000859980705,0.24079420058069256,8,True
