sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Soil-A,Soil,1,1,1,OLS,0.9238597106511761,0.9010695734269688,8,True
Soil-A,Soil,1,1,2,OLS,-0.5930326129795764,0.9010695734269688,8,True
Soil-A,Soil,1,1,3,OLS,-0.4489500201450498,0.9010695734269688,8,True
Soil-A,Soil,1,1,4,OLS,-0.3232783163019537,0.9010695734269688,8,True
Soil-A,Soil,1,1,5,OLS,0.01628137473030622,0.9010695734269688,8,True
Soil-A,Soil,1,1,6,OLS,0.8910065494914792,0.9010695734269688,8,True
Soil-A,Soil,1,1,7,OLS,0.9131037020816966,0.9010695734269688,8,True
Soil-A,Soil,1,1,8,OLS,0.9486869871627395,0.9010695734269688,8,True
Soil-A,Soil,1,1,1,OLS_raw,0.9463726499910822,0.9172019468503464,8,True
Soil-A,Soil,1,1,2,OLS_raw,-0.18479694204112196,0.9172019468503464,8,True
Soil-A,Soil,1,1,3,OLS_raw,-0.04873212003357441,0.9172019468503464,8,True
Soil-A,Soil,1,1,4,OLS_raw,0.010540924261935536,0.9172019468503464,8,True
Soil-A,Soil,1,1,5,OLS_raw,-0.08069468278927494,0.9172019468503464,8,True
Soil-A,Soil,1,1,6,OLS_raw,0.8884056260688635,0.9172019468503464,8,True
Soil-A,Soil,1,1,7,OLS_raw,0.9203742981082544,0.9172019468503464,8,True
Soil-A,Soil,1,1,8,OLS_raw,0.959542953429805,0.9172019468503464,8,True
Soil-A,Soil,1,1,1,endpoint,0.9400965456332567,0.9028887660200676,8,True
Soil-A,Soil,1,1,2,endpoint,-0.6085182592806799,0.9028887660200676,8,True
Soil-A,Soil,1,1,3,endpoint,-0.45341076041380646,0.9028887660200676,8,True
Soil-A,Soil,1,1,4,endpoint,-0.33954259158768973,0.9028887660200676,8,True
Soil-A,Soil,1,1,5,endpoint,0.013626947601456885,0.9028887660200676,8,True
Soil-A,Soil,1,1,6,endpoint,0.8914768602753737,0.9028887660200676,8,True
Soil-A,Soil,1,1,7,endpoint,0.9145540280688151,0.9028887660200676,8,True
Soil-A,Soil,1,1,8,endpoint,0.9505332676334487,0.9028887660200676,8,True
Soil-A,Soil,1,1,1,persistence,0.9480143648017932,0.8997953921257156,8,True
Soil-A,Soil,1,1,2,persistence,-0.6590271985982812,0.8997953921257156,8,True
Soil-A,Soil,1,1,3,persistence,-0.5281038721744951,0.8997953921257156,8,True
Soil-A,Soil,1,1,4,persistence,-0.41800517585474006,0.8997953921257156,8,True
Soil-A,Soil,1,1,5,persistence,-0.03939613275193299,0.8997953921257156,8,True
Soil-A,Soil,1,1,6,persistence,0.8953396748421654,0.8997953921257156,8,True
Soil-A,Soil,1,1,7,persistence,0.9107524498120314,0.8997953921257156,8,True
Soil-A,Soil,1,1,8,persistence,0.9487801116161376,0.8997953921257156,8,True
Soil-A,Soil,1,2,1,OLS,0.8281302196271351,0.9086442403628177,5,True
Soil-A,Soil,1,2,2,OLS,,0.9086442403628177,5,True
Soil-A,Soil,1,2,3,OLS,,0.9086442403628177,5,True
Soil-A,Soil,1,2,4,OLS,,0.9086442403628177,5,True
Soil-A,Soil,1,2,5,OLS,-0.7159533892440211,0.9086442403628177,5,True
Soil-A,Soil,1,2,6,OLS,0.9164853061995204,0.9086442403628177,5,True
Soil-A,Soil,1,2,7,OLS,,0.9086442403628177,5,True
Soil-A,Soil,1,2,8,OLS,0.9183652557623178,0.9086442403628177,5,True
Soil-A,Soil,1,2,1,OLS_raw,0.6775456319821078,0.8404926495900576,5,True
Soil-A,Soil,1,2,2,OLS_raw,,0.8404926495900576,5,True
Soil-A,Soil,1,2,3,OLS_raw,,0.8404926495900576,5,True
Soil-A,Soil,1,2,4,OLS_raw,,0.8404926495900576,5,True
