sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Soil-B,Soil,1,1,1,OLS,0.6156134231500001,0.880873743653347,8,True
Soil-B,Soil,1,1,2,OLS,0.31313468919623455,0.880873743653347,8,True
Soil-B,Soil,1,1,3,OLS,0.46206062103979284,0.880873743653347,8,True
Soil-B,Soil,1,1,4,OLS,0.4637895564071125,0.880873743653347,8,True
Soil-B,Soil,1,1,5,OLS,0.7387810927755926,0.880873743653347,8,True
Soil-B,Soil,1,1,6,OLS,0.7281542454760235,0.880873743653347,8,True
Soil-B,Soil,1,1,7,OLS,-1.5083776456480513,0.880873743653347,8,True
Soil-B,Soil,1,1,8,OLS,-47.990686283317864,0.880873743653347,8,True
Soil-B,Soil,1,1,1,OLS_raw,0.5571031642713662,0.8799379966116643,8,True
Soil-B,Soil,1,1,2,OLS_raw,0.3971220510156309,0.8799379966116643,8,True
Soil-B,Soil,1,1,3,OLS_raw,0.45218118474743685,0.8799379966116643,8,True
Soil-B,Soil,1,1,4,OLS_raw,0.41270668653723075,0.8799379966116643,8,True
Soil-B,Soil,1,1,5,OLS_raw,0.7630549807124645,0.8799379966116643,8,True
Soil-B,Soil,1,1,6,OLS_raw,0.7524299539180035,0.8799379966116643,8,True
Soil-B,Soil,1,1,7,OLS_raw,-1.6332150663255578,0.8799379966116643,8,True
Soil-B,Soil,1,1,8,OLS_raw,-80.9297782859839,0.8799379966116643,8,True
Soil-B,Soil,1,1,1,endpoint,0.46842973370539,0.8499057716579463,8,True
Soil-B,Soil,1,1,2,endpoint,0.22547479909591717,0.8499057716579463,8,True
Soil-B,Soil,1,1,3,endpoint,0.35122108403656316,0.8499057716579463,8,True
Soil-B,Soil,1,1,4,endpoint,0.27597216389748125,0.8499057716579463,8,True
Soil-B,Soil,1,1,5,endpoint,0.6886764232221823,0.8499057716579463,8,True
Soil-B,Soil,1,1,6,endpoint,0.7270055857156037,0.8499057716579463,8,True
Soil-B,Soil,1,1,7,endpoint,-4.672160764344935,0.8499057716579463,8,True
Soil-B,Soil,1,1,8,endpoint,-219.22996156360324,0.8499057716579463,8,True
Soil-B,Soil,1,1,1,persistence,0.43388642568133295,0.8489871523122545,8,True
Soil-B,Soil,1,1,2,persistence,0.18017369582902754,0.8489871523122545,8,True
Soil-B,Soil,1,1,3,persistence,0.32662819200160076,0.8489871523122545,8,True
Soil-B,Soil,1,1,4,persistence,0.23207236114240315,0.8489871523122545,8,True
Soil-B,Soil,1,1,5,persistence,0.6709876563109629,0.8489871523122545,8,True
