sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Soil-C,Soil,1,1,1,OLS,0.6481882705021835,0.6649795857887391,8,True
Soil-C,Soil,1,1,2,OLS,0.6779661865156739,0.6649795857887391,8,True
Soil-C,Soil,1,1,3,OLS,0.6965770573539622,0.6649795857887391,8,True
Soil-C,Soil,1,1,4,OLS,-0.09279766809584267,0.6649795857887391,8,True
Soil-C,Soil,1,1,5,OLS,0.6133559227543995,0.6649795857887391,8,True
Soil-C,Soil,1,1,6,OLS,0.15369421059257915,0.6649795857887391,8,True
Soil-C,Soil,1,1,7,OLS,0.17935305084061692,0.6649795857887391,8,True
Soil-C,Soil,1,1,8,OLS,0.3414378043776084,0.6649795857887391,8,True
Soil-C,Soil,1,1,1,OLS_raw,0.667138716948704,0.6650447396772865,8,True
Soil-C,Soil,1,1,2,OLS_raw,0.6795032244840009,0.6650447396772865,8,True
Soil-C,Soil,1,1,3,OLS_raw,0.6907715476588829,0.6650447396772865,8,True
Soil-C,Soil,1,1,4,OLS_raw,-0.3045905509660565,0.6650447396772865,8,True
Soil-C,Soil,1,1,5,OLS_raw,0.6329254870014438,0.6650447396772865,8,True
Soil-C,Soil,1,1,6,OLS_raw,0.1718244806481264,0.6650447396772865,8,True
Soil-C,Soil,1,1,7,OLS_raw,0.23337072159902328,0.6650447396772865,8,True
Soil-C,Soil,1,1,8,OLS_raw,0.4037972622825582,0.6650447396772865,8,True
Soil-C,Soil,1,1,1,endpoint,0.5584569864585057,0.6095784669521767,8,True
Soil-C,Soil,1,1,2,endpoint,0.6928370708031945,0.6095784669521767,8,True
Soil-C,Soil,1,1,3,endpoint,0.5746094584454597,0.6095784669521767,8,True
Soil-C,Soil,1,1,4,endpoint,-0.33618382847683614,0.6095784669521767,8,True
Soil-C,Soil,1,1,5,endpoint,0.536982799923802,0.6095784669521767,8,True
Soil-C,Soil,1,1,6,endpoint,-0.02163978630522556,0.6095784669521767,8,True
Soil-C,Soil,1,1,7,endpoint,0.10339320604507296,0.6095784669521767,8,True
Soil-C,Soil,1,1,8,endpoint,0.28913680621660376,0.6095784669521767,8,True
Soil-C,Soil,1,1,1,persistence,0.49589549843850267,0.5724828952928127,8,True
Soil-C,Soil,1,1,2,persistence,0.6685434435614126,0.5724828952928127,8,True
Soil-C,Soil,1,1,3,persistence,0.68393798561023,0.5724828952928127,8,True
Soil-C,Soil,1,1,4,persistence,-0.5499165595782167,0.5724828952928127,8,True
Soil-C,Soil,1,1,5,persistence,0.4860707265398305,0.5724828952928127,8,True
Soil-C,Soil,1,1,6,persistence,-0.14082493509770755,0.5724828952928127,8,True
Soil-C,Soil,1,1,7,persistence,-0.0711049459016575,0.5724828952928127,8,True
Soil-C,Soil,1,1,8,persistence,0.16978599006065187,0.5724828952928127,8,True
Soil-C,Soil,1,2,1,OLS,0.7832621342029671,0.935488821028489,5,True
Soil-C,Soil,1,2,2,OLS,0.8978584121999371,0.935488821028489,5,True
Soil-C,Soil,1,2,3,OLS,0.9638304989857841,0.935488821028489,5,True
Soil-C,Soil,1,2,4,OLS,,0.935488821028489,5,True
Soil-C,Soil,1,2,5,OLS,,0.935488821028489,5,True
Soil-C,Soil,1,2,6,OLS,0.6875075154844429,0.935488821028489,5,True
Soil-C,Soil,1,2,7,OLS,,0.935488821028489,5,True
Soil-C,Soil,1,2,8,OLS,0.7677971520276885,0.935488821028489,5,True
Soil-C,Soil,1,2,1,OLS_raw,0.754988808915133,0.9124218947074632,5,True
Soil-C,Soil,1,2,2,OLS_raw,0.9107537844443145,0.9124218947074632,5,True
Soil-C,Soil,1,2,3,OLS_raw,0.9691056991947377,0.9124218947074632,5,True
Soil-C,Soil,1,2,4,OLS_raw,,0.9124218947074632,5,True
Soil-C,Soil,1,2,5,OLS_raw,,0.9124218947074632,5,True
Soil-C,Soil,1,2,6,OLS_raw,0.5412288802803975,0.9124218947074632,5,True
Soil-C,Soil,1,2,7,OLS_raw,,0.9124218947074632,5,True
Soil-C,Soil,1,2,8,OLS_raw,0.6091724229393451,0.9124218947074632,5,True
Soil-C,Soil,1,2,1,endpoint,0.6336859945030635,0.9056003242792896,5,True
Soil-C,Soil,1,2,2,endpoint,0.9015005825504236,0.9056003242792896,5,True
Soil-C,Soil,1,2,3,endpoint,0.9773589938417668,0.9056003242792896,5,True
Soil-C,Soil,1,2,4,endpoint,,0.9056003242792896,5,True
Soil-C,Soil,1,2,5,endpoint,,0.9056003242792896,5,True
Soil-C,Soil,1,2,6,endpoint,0.5188323988619137,0.9056003242792896,5,True
Soil-C,Soil,1,2,7,endpoint,,0.9056003242792896,5,True
Soil-C,Soil,1,2,8,endpoint,0.6945472559650399,0.9056003242792896,5,True
Soil-C,Soil,1,2,1,persistence,0.6225530476129508,0.904598776188133,5,True
Soil-C,Soil,1,2,2,persistence,0.9001120567153192,0.904598776188133,5,True
Soil-C,Soil,1,2,3,persistence,0.9827374824328579,0.904598776188133,5,True
Soil-C,Soil,1,2,4,persistence,,0.904598776188133,5,True
Soil-C,Soil,1,2,5,persistence,,0.904598776188133,5,True
Soil-C,Soil,1,2,6,persistence,0.5080959817685625,0.904598776188133,5,True
Soil-C,Soil,1,2,7,persistence,,0.904598776188133,5,True
Soil-C,Soil,1,2,8,persistence,0.6864274111718798,0.904598776188133,5,True
Soil-C,Soil,1,3,1,OLS,0.2959551285457218,0.6945912712931019,8,True
Soil-C,Soil,1,3,2,OLS,0.3724152637917042,0.6945912712931019,8,True
Soil-C,Soil,1,3,3,OLS,0.35710011295845734,0.6945912712931019,8,True
Soil-C,Soil,1,3,4,OLS,0.5349637121838565,0.6945912712931019,8,True
Soil-C,Soil,1,3,5,OLS,0.5756298986055473,0.6945912712931019,8,True
Soil-C,Soil,1,3,6,OLS,0.32643534355793724,0.6945912712931019,8,True
Soil-C,Soil,1,3,7,OLS,0.30383416252500095,0.6945912712931019,8,True
Soil-C,Soil,1,3,8,OLS,0.5097043270768804,0.6945912712931019,8,True
Soil-C,Soil,1,3,1,OLS_raw,0.27168944103700066,0.6844503751045814,8,True
Soil-C,Soil,1,3,2,OLS_raw,0.2875049901786688,0.6844503751045814,8,True
