sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-A,Water,1,1,1,OLS,0.8849821015821542,0.9351543835602801,7,True
Water-A,Water,1,1,2,OLS,0.5064178778300775,0.9351543835602801,7,True
Water-A,Water,1,1,3,OLS,0.10454978669584225,0.9351543835602801,7,True
Water-A,Water,1,1,4,OLS,0.7673147787384049,0.9351543835602801,7,True
Water-A,Water,1,1,5,OLS,-0.5879028501254615,0.9351543835602801,7,True
Water-A,Water,1,1,6,OLS,-0.15178862569681972,0.9351543835602801,7,True
Water-A,Water,1,1,7,OLS,,0.9351543835602801,7,True
Water-A,Water,1,1,8,OLS,0.6596063008485923,0.9351543835602801,7,True
Water-A,Water,1,1,1,OLS_raw,0.9203380678122948,0.9496445271627889,7,True
Water-A,Water,1,1,2,OLS_raw,0.6678185690873717,0.9496445271627889,7,True
Water-A,Water,1,1,3,OLS_raw,0.28029824097433753,0.9496445271627889,7,True
Water-A,Water,1,1,4,OLS_raw,0.7915484268396954,0.9496445271627889,7,True
Water-A,Water,1,1,5,OLS_raw,-0.6945301453827262,0.9496445271627889,7,True
Water-A,Water,1,1,6,OLS_raw,0.15519318735085663,0.9496445271627889,7,True
Water-A,Water,1,1,7,OLS_raw,,0.9496445271627889,7,True
Water-A,Water,1,1,8,OLS_raw,0.6990446144753701,0.9496445271627889,7,True
Water-A,Water,1,1,1,endpoint,0.9533236978637856,0.9359400316086273,7,True
Water-A,Water,1,1,2,endpoint,0.41048331578228103,0.9359400316086273,7,True
Water-A,Water,1,1,3,endpoint,-0.07944793590662336,0.9359400316086273,7,True
Water-A,Water,1,1,4,endpoint,0.7226651834006494,0.9359400316086273,7,True
Water-A,Water,1,1,5,endpoint,-0.8861774879878941,0.9359400316086273,7,True
Water-A,Water,1,1,6,endpoint,-0.33006347168556305,0.9359400316086273,7,True
Water-A,Water,1,1,7,endpoint,,0.9359400316086273,7,True
Water-A,Water,1,1,8,endpoint,0.6106574185036338,0.9359400316086273,7,True
Water-A,Water,1,1,1,persistence,0.9519259073491937,0.9362736021328276,7,True
Water-A,Water,1,1,2,persistence,0.38963441494662276,0.9362736021328276,7,True
Water-A,Water,1,1,3,persistence,-0.12305100463535146,0.9362736021328276,7,True
Water-A,Water,1,1,4,persistence,0.7176621585411062,0.9362736021328276,7,True
Water-A,Water,1,1,5,persistence,-0.9235204040568097,0.9362736021328276,7,True
Water-A,Water,1,1,6,persistence,-0.3822371181261879,0.9362736021328276,7,True
Water-A,Water,1,1,7,persistence,,0.9362736021328276,7,True
Water-A,Water,1,1,8,persistence,0.5933466461755563,0.9362736021328276,7,True
Water-A,Water,1,2,1,OLS,0.7164540677303124,0.8502675316062759,6,True
Water-A,Water,1,2,2,OLS,-0.35580729063469296,0.8502675316062759,6,True
Water-A,Water,1,2,3,OLS,,0.8502675316062759,6,True
Water-A,Water,1,2,4,OLS,0.11222097576446977,0.8502675316062759,6,True
Water-A,Water,1,2,5,OLS,,0.8502675316062759,6,True
Water-A,Water,1,2,6,OLS,-0.3701348279759413,0.8502675316062759,6,True
Water-A,Water,1,2,7,OLS,0.413012027012965,0.8502675316062759,6,True
Water-A,Water,1,2,8,OLS,0.0937012698188735,0.8502675316062759,6,True
Water-A,Water,1,2,1,OLS_raw,0.7729908922781812,0.8498448232131821,6,True
Water-A,Water,1,2,2,OLS_raw,0.008284681538469285,0.8498448232131821,6,True
Water-A,Water,1,2,3,OLS_raw,,0.8498448232131821,6,True
Water-A,Water,1,2,4,OLS_raw,0.2784600018842731,0.8498448232131821,6,True
Water-A,Water,1,2,5,OLS_raw,,0.8498448232131821,6,True
Water-A,Water,1,2,6,OLS_raw,-0.17643116107121304,0.8498448232131821,6,True
Water-A,Water,1,2,7,OLS_raw,0.24833216377779188,0.8498448232131821,6,True
Water-A,Water,1,2,8,OLS_raw,0.02399705751253245,0.8498448232131821,6,True
Water-A,Water,1,2,1,endpoint,0.8580887144274936,0.8632031546519162,6,True
Water-A,Water,1,2,2,endpoint,-0.6474731125273183,0.8632031546519162,6,True
Water-A,Water,1,2,3,endpoint,,0.8632031546519162,6,True
Water-A,Water,1,2,4,endpoint,-0.032782184488115984,0.8632031546519162,6,True
Water-A,Water,1,2,5,endpoint,,0.8632031546519162,6,True
Water-A,Water,1,2,6,endpoint,-0.5792104204632436,0.8632031546519162,6,True
