sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-B,Water,1,1,1,OLS,0.8731541289149313,0.8240302554382347,8,True
Water-B,Water,1,1,2,OLS,0.8340312615050272,0.8240302554382347,8,True
Water-B,Water,1,1,3,OLS,0.49697809732749854,0.8240302554382347,8,True
Water-B,Water,1,1,4,OLS,0.5892395422864678,0.8240302554382347,8,True
Water-B,Water,1,1,5,OLS,0.5254828970402196,0.8240302554382347,8,True
Water-B,Water,1,1,6,OLS,0.8434717156561102,0.8240302554382347,8,True
Water-B,Water,1,1,7,OLS,0.7717700740103047,0.8240302554382347,8,True
Water-B,Water,1,1,8,OLS,0.2761786733029038,0.8240302554382347,8,True
Water-B,Water,1,1,1,OLS_raw,0.8752277739457678,0.824627604709696,8,True
Water-B,Water,1,1,2,OLS_raw,0.8302412163413123,0.824627604709696,8,True
Water-B,Water,1,1,3,OLS_raw,0.4922413877124048,0.824627604709696,8,True
Water-B,Water,1,1,4,OLS_raw,0.6178047060228147,0.824627604709696,8,True
Water-B,Water,1,1,5,OLS_raw,0.5598986863383402,0.824627604709696,8,True
Water-B,Water,1,1,6,OLS_raw,0.8529719358521353,0.824627604709696,8,True
Water-B,Water,1,1,7,OLS_raw,0.7757480173865485,0.824627604709696,8,True
Water-B,Water,1,1,8,OLS_raw,0.17024728389599353,0.824627604709696,8,True
Water-B,Water,1,1,1,endpoint,0.8705015408174036,0.7766936305055774,8,True
Water-B,Water,1,1,2,endpoint,0.8181606907753827,0.7766936305055774,8,True
Water-B,Water,1,1,3,endpoint,0.31521263703877167,0.7766936305055774,8,True
Water-B,Water,1,1,4,endpoint,0.487545074733331,0.7766936305055774,8,True
Water-B,Water,1,1,5,endpoint,0.35058663566216264,0.7766936305055774,8,True
Water-B,Water,1,1,6,endpoint,0.7934391206268318,0.7766936305055774,8,True
Water-B,Water,1,1,7,endpoint,0.7290792072933037,0.7766936305055774,8,True
Water-B,Water,1,1,8,endpoint,-0.0024260094254009434,0.7766936305055774,8,True
Water-B,Water,1,1,1,persistence,0.8685109412622525,0.7675710771153508,8,True
Water-B,Water,1,1,2,persistence,0.8277095730886186,0.7675710771153508,8,True
Water-B,Water,1,1,3,persistence,0.364114785521262,0.7675710771153508,8,True
Water-B,Water,1,1,4,persistence,0.44791534565542035,0.7675710771153508,8,True
Water-B,Water,1,1,5,persistence,0.29482360512151995,0.7675710771153508,8,True
Water-B,Water,1,1,6,persistence,0.8047402118711211,0.7675710771153508,8,True
Water-B,Water,1,1,7,persistence,0.7104393354283836,0.7675710771153508,8,True
Water-B,Water,1,1,8,persistence,-0.09402192103358331,0.7675710771153508,8,True
Water-B,Water,1,2,1,OLS,0.6568628316485436,0.4864309678557067,8,True
Water-B,Water,1,2,2,OLS,0.6121959194748687,0.4864309678557067,8,True
Water-B,Water,1,2,3,OLS,0.573984104210298,0.4864309678557067,8,True
Water-B,Water,1,2,4,OLS,0.2678626618958363,0.4864309678557067,8,True
Water-B,Water,1,2,5,OLS,0.4108377755170355,0.4864309678557067,8,True
Water-B,Water,1,2,6,OLS,0.38564746486397405,0.4864309678557067,8,True
Water-B,Water,1,2,7,OLS,0.09419295526763416,0.4864309678557067,8,True
Water-B,Water,1,2,8,OLS,-0.004765865952484738,0.4864309678557067,8,True
Water-B,Water,1,2,1,OLS_raw,0.6498621178859286,0.5006939032905015,8,True
Water-B,Water,1,2,2,OLS_raw,0.646947666255696,0.5006939032905015,8,True
Water-B,Water,1,2,3,OLS_raw,0.5529011368023378,0.5006939032905015,8,True
Water-B,Water,1,2,4,OLS_raw,0.3312743011617273,0.5006939032905015,8,True
Water-B,Water,1,2,5,OLS_raw,0.4673917661690682,0.5006939032905015,8,True
Water-B,Water,1,2,6,OLS_raw,0.42688879497817944,0.5006939032905015,8,True
Water-B,Water,1,2,7,OLS_raw,0.16368168565337404,0.5006939032905015,8,True
Water-B,Water,1,2,8,OLS_raw,-0.024843405742021707,0.5006939032905015,8,True
Water-B,Water,1,2,1,endpoint,0.6365961517225535,0.440998601279175,8,True
Water-B,Water,1,2,2,endpoint,0.5975060803242477,0.440998601279175,8,True
Water-B,Water,1,2,3,endpoint,0.4925964265115106,0.440998601279175,8,True
Water-B,Water,1,2,4,endpoint,0.23200765961567626,0.440998601279175,8,True
Water-B,Water,1,2,5,endpoint,0.4199963421185403,0.440998601279175,8,True
Water-B,Water,1,2,6,endpoint,0.3214460009076331,0.440998601279175,8,True
Water-B,Water,1,2,7,endpoint,0.034203781985439274,0.440998601279175,8,True
Water-B,Water,1,2,8,endpoint,-0.12229573195707566,0.440998601279175,8,True
Water-B,Water,1,2,1,persistence,0.7144003149068827,0.3423022204872609,8,True
Water-B,Water,1,2,2,persistence,0.5625309817238338,0.3423022204872609,8,True
Water-B,Water,1,2,3,persistence,0.40156705968392636,0.3423022204872609,8,True
Water-B,Water,1,2,4,persistence,0.0213724454226637,0.3423022204872609,8,True
Water-B,Water,1,2,5,persistence,0.3047516925990219,0.3423022204872609,8,True
Water-B,Water,1,2,6,persistence,0.15226501632908762,0.3423022204872609,8,True
Water-B,Water,1,2,7,persistence,-0.2101333600617057,0.3423022204872609,8,True
Water-B,Water,1,2,8,persistence,-0.43384453439036075,0.3423022204872609,8,True
Water-B,Water,1,3,1,OLS,0.875811278060693,0.8948532141030163,8,True
Water-B,Water,1,3,2,OLS,0.9152717523279589,0.8948532141030163,8,True
Water-B,Water,1,3,3,OLS,-0.0395055706538221,0.8948532141030163,8,True
Water-B,Water,1,3,4,OLS,0.13976093067833018,0.8948532141030163,8,True
Water-B,Water,1,3,5,OLS,-0.0290682436962042,0.8948532141030163,8,True
Water-B,Water,1,3,6,OLS,0.15968102964183872,0.8948532141030163,8,True
Water-B,Water,1,3,7,OLS,0.8446770441799758,0.8948532141030163,8,True
Water-B,Water,1,3,8,OLS,0.37509651809991085,0.8948532141030163,8,True
Water-B,Water,1,3,1,OLS_raw,0.8968715804625748,0.9021179045856214,8,True
Water-B,Water,1,3,2,OLS_raw,0.9091058437850406,0.9021179045856214,8,True
Water-B,Water,1,3,3,OLS_raw,-0.5483075712563272,0.9021179045856214,8,True
Water-B,Water,1,3,4,OLS_raw,0.020281448362002186,0.9021179045856214,8,True
Water-B,Water,1,3,5,OLS_raw,0.4845869988077174,0.9021179045856214,8,True
Water-B,Water,1,3,6,OLS_raw,0.05064515346558596,0.9021179045856214,8,True
Water-B,Water,1,3,7,OLS_raw,0.8333471356903207,0.9021179045856214,8,True
Water-B,Water,1,3,8,OLS_raw,0.021240229341584205,0.9021179045856214,8,True
Water-B,Water,1,3,1,endpoint,0.9039695758482207,0.9091039392132012,8,True
Water-B,Water,1,3,2,endpoint,0.9126618969578515,0.9091039392132012,8,True
Water-B,Water,1,3,3,endpoint,0.05674270687137273,0.9091039392132012,8,True
Water-B,Water,1,3,4,endpoint,0.11242559290887555,0.9091039392132012,8,True
Water-B,Water,1,3,5,endpoint,0.12311120657916286,0.9091039392132012,8,True
Water-B,Water,1,3,6,endpoint,0.12373018519201617,0.9091039392132012,8,True
Water-B,Water,1,3,7,endpoint,0.8414992771369799,0.9091039392132012,8,True
Water-B,Water,1,3,8,endpoint,0.39829869499548276,0.9091039392132012,8,True
Water-B,Water,1,3,1,persistence,0.9311790774907133,0.9212519707814542,8,True
Water-B,Water,1,3,2,persistence,0.9079448214118487,0.9212519707814542,8,True
Water-B,Water,1,3,3,persistence,0.06168699440542447,0.9212519707814542,8,True
Water-B,Water,1,3,4,persistence,0.050463918225763904,0.9212519707814542,8,True
Water-B,Water,1,3,5,persistence,0.09998374221445727,0.9212519707814542,8,True
Water-B,Water,1,3,6,persistence,0.07626360082201522,0.9212519707814542,8,True
Water-B,Water,1,3,7,persistence,0.8216747314421564,0.9212519707814542,8,True
Water-B,Water,1,3,8,persistence,0.34604630171882733,0.9212519707814542,8,True
Water-B,Water,1,4,1,OLS,0.8271236004909324,0.8650556351136277,8,True
Water-B,Water,1,4,2,OLS,0.8873396720925143,0.8650556351136277,8,True
Water-B,Water,1,4,3,OLS,-0.12166349520232078,0.8650556351136277,8,True
Water-B,Water,1,4,4,OLS,0.7900161651990179,0.8650556351136277,8,True
Water-B,Water,1,4,5,OLS,0.7125218313808614,0.8650556351136277,8,True
Water-B,Water,1,4,6,OLS,0.80583567544078,0.8650556351136277,8,True
Water-B,Water,1,4,7,OLS,0.891445646352431,0.8650556351136277,8,True
Water-B,Water,1,4,8,OLS,0.7500977815323188,0.8650556351136277,8,True
Water-B,Water,1,4,1,OLS_raw,0.867824940725965,0.8349464709059004,8,True
Water-B,Water,1,4,2,OLS_raw,0.8648439275812261,0.8349464709059004,8,True
Water-B,Water,1,4,3,OLS_raw,-0.8487346159836959,0.8349464709059004,8,True
Water-B,Water,1,4,4,OLS_raw,0.8433334346756675,0.8349464709059004,8,True
Water-B,Water,1,4,5,OLS_raw,0.761487527937365,0.8349464709059004,8,True
Water-B,Water,1,4,6,OLS_raw,0.8527649637743329,0.8349464709059004,8,True
Water-B,Water,1,4,7,OLS_raw,0.9073938561555597,0.8349464709059004,8,True
Water-B,Water,1,4,8,OLS_raw,0.7664371443982381,0.8349464709059004,8,True
Water-B,Water,1,4,1,endpoint,0.7824788674185684,0.8369691876919128,8,True
Water-B,Water,1,4,2,endpoint,0.8641907676368342,0.8369691876919128,8,True
Water-B,Water,1,4,3,endpoint,-0.2557662737964441,0.8369691876919128,8,True
Water-B,Water,1,4,4,endpoint,0.7224252896402298,0.8369691876919128,8,True
Water-B,Water,1,4,5,endpoint,0.6226250959143076,0.8369691876919128,8,True
Water-B,Water,1,4,6,endpoint,0.750868608274822,0.8369691876919128,8,True
Water-B,Water,1,4,7,endpoint,0.8690463582090557,0.8369691876919128,8,True
Water-B,Water,1,4,8,endpoint,0.6549559553266504,0.8369691876919128,8,True
Water-B,Water,1,4,1,persistence,0.7806771357330392,0.8315193853589399,8,True
Water-B,Water,1,4,2,persistence,0.8625603235258555,0.8315193853589399,8,True
Water-B,Water,1,4,3,persistence,-0.3114987404334564,0.8315193853589399,8,True
Water-B,Water,1,4,4,persistence,0.7097923490019362,0.8315193853589399,8,True
Water-B,Water,1,4,5,persistence,0.6188381099391227,0.8315193853589399,8,True
Water-B,Water,1,4,6,persistence,0.740996096267531,0.8315193853589399,8,True
Water-B,Water,1,4,7,persistence,0.8670479804566622,0.8315193853589399,8,True
Water-B,Water,1,4,8,persistence,0.643506023619097,0.8315193853589399,8,True
Water-B,Water,1,5,1,OLS,0.7145100332367635,0.6872263382241922,8,True
Water-B,Water,1,5,2,OLS,0.8620282449104508,0.6872263382241922,8,True
Water-B,Water,1,5,3,OLS,0.21475845272155292,0.6872263382241922,8,True
Water-B,Water,1,5,4,OLS,0.3663036560847879,0.6872263382241922,8,True
Water-B,Water,1,5,5,OLS,-0.2190945621134499,0.6872263382241922,8,True
Water-B,Water,1,5,6,OLS,-0.5694922431514982,0.6872263382241922,8,True
Water-B,Water,1,5,7,OLS,-0.029259788729836922,0.6872263382241922,8,True
Water-B,Water,1,5,8,OLS,0.2694598980381703,0.6872263382241922,8,True
Water-B,Water,1,5,1,OLS_raw,0.7237912248757323,0.6865001307890892,8,True
Water-B,Water,1,5,2,OLS_raw,0.8735621958291929,0.6865001307890892,8,True
Water-B,Water,1,5,3,OLS_raw,0.11241180024572273,0.6865001307890892,8,True
Water-B,Water,1,5,4,OLS_raw,0.3309643444624736,0.6865001307890892,8,True
Water-B,Water,1,5,5,OLS_raw,-0.1948746708345117,0.6865001307890892,8,True
Water-B,Water,1,5,6,OLS_raw,-2.163726893305778,0.6865001307890892,8,True
Water-B,Water,1,5,7,OLS_raw,0.023302129890432344,0.6865001307890892,8,True
Water-B,Water,1,5,8,OLS_raw,0.21603815032734652,0.6865001307890892,8,True
Water-B,Water,1,5,1,endpoint,0.7027357143274573,0.6043283945917157,8,True
Water-B,Water,1,5,2,endpoint,0.8225140016200028,0.6043283945917157,8,True
Water-B,Water,1,5,3,endpoint,0.12967304774974742,0.6043283945917157,8,True
Water-B,Water,1,5,4,endpoint,0.2640952040349074,0.6043283945917157,8,True
Water-B,Water,1,5,5,endpoint,-0.6249396040087491,0.6043283945917157,8,True
Water-B,Water,1,5,6,endpoint,-23.73311924427036,0.6043283945917157,8,True
Water-B,Water,1,5,7,endpoint,-0.3448222494261455,0.6043283945917157,8,True
Water-B,Water,1,5,8,endpoint,0.12168741949923101,0.6043283945917157,8,True
Water-B,Water,1,5,1,persistence,0.6792799229926612,0.5772277586267611,8,True
Water-B,Water,1,5,2,persistence,0.8477640991588403,0.5772277586267611,8,True
Water-B,Water,1,5,3,persistence,0.34550104046317154,0.5772277586267611,8,True
Water-B,Water,1,5,4,persistence,0.1421333333665773,0.5772277586267611,8,True
Water-B,Water,1,5,5,persistence,-0.8579418233211558,0.5772277586267611,8,True
Water-B,Water,1,5,6,persistence,0.3942129315993631,0.5772277586267611,8,True
Water-B,Water,1,5,7,persistence,-0.6125457665831175,0.5772277586267611,8,True
Water-B,Water,1,5,8,persistence,0.022798564857867576,0.5772277586267611,8,True
Water-B,Water,2,1,1,OLS,0.8227642383315315,0.7928588983814516,8,True
Water-B,Water,2,1,2,OLS,0.7722974732004172,0.7928588983814516,8,True
Water-B,Water,2,1,3,OLS,0.3444956873487949,0.7928588983814516,8,True
Water-B,Water,2,1,4,OLS,0.521979241479079,0.7928588983814516,8,True
Water-B,Water,2,1,5,OLS,0.5044978674471168,0.7928588983814516,8,True
Water-B,Water,2,1,6,OLS,0.8122512691585896,0.7928588983814516,8,True
Water-B,Water,2,1,7,OLS,0.7136744871846061,0.7928588983814516,8,True
Water-B,Water,2,1,8,OLS,0.2756747440477958,0.7928588983814516,8,True
Water-B,Water,2,1,1,OLS_raw,0.8198411769073348,0.7928490479499384,8,True
Water-B,Water,2,1,2,OLS_raw,0.7587644709469625,0.7928490479499384,8,True
Water-B,Water,2,1,3,OLS_raw,0.3637692608019364,0.7928490479499384,8,True
Water-B,Water,2,1,4,OLS_raw,0.5321499254338224,0.7928490479499384,8,True
Water-B,Water,2,1,5,OLS_raw,0.5163402642496615,0.7928490479499384,8,True
Water-B,Water,2,1,6,OLS_raw,0.8254874988344754,0.7928490479499384,8,True
Water-B,Water,2,1,7,OLS_raw,0.7281613800349254,0.7928490479499384,8,True
Water-B,Water,2,1,8,OLS_raw,0.20601794596935497,0.7928490479499384,8,True
Water-B,Water,2,1,1,endpoint,0.8174196548837813,0.7383560654879554,8,True
Water-B,Water,2,1,2,endpoint,0.7404204699872547,0.7383560654879554,8,True
Water-B,Water,2,1,3,endpoint,0.0930479278973273,0.7383560654879554,8,True
Water-B,Water,2,1,4,endpoint,0.3939839091086105,0.7383560654879554,8,True
Water-B,Water,2,1,5,endpoint,0.33590548832524836,0.7383560654879554,8,True
Water-B,Water,2,1,6,endpoint,0.7417985572123051,0.7383560654879554,8,True
Water-B,Water,2,1,7,endpoint,0.6711880678615076,0.7383560654879554,8,True
Water-B,Water,2,1,8,endpoint,0.01958842205103173,0.7383560654879554,8,True
Water-B,Water,2,1,1,persistence,0.8060825090634577,0.724479228081757,8,True
Water-B,Water,2,1,2,persistence,0.7420194694037918,0.724479228081757,8,True
Water-B,Water,2,1,3,persistence,0.120242405045067,0.724479228081757,8,True
Water-B,Water,2,1,4,persistence,0.34105201916299943,0.724479228081757,8,True
Water-B,Water,2,1,5,persistence,0.2739524814519815,0.724479228081757,8,True
Water-B,Water,2,1,6,persistence,0.7568221737793134,0.724479228081757,8,True
Water-B,Water,2,1,7,persistence,0.6457669771975509,0.724479228081757,8,True
Water-B,Water,2,1,8,persistence,-0.08691715646019293,0.724479228081757,8,True
Water-B,Water,2,2,1,OLS,0.4980701547040196,0.38636377511629405,8,True
Water-B,Water,2,2,2,OLS,0.47546213789334135,0.38636377511629405,8,True
Water-B,Water,2,2,3,OLS,0.5466462195807287,0.38636377511629405,8,True
Water-B,Water,2,2,4,OLS,0.15293176002290498,0.38636377511629405,8,True
Water-B,Water,2,2,5,OLS,0.23173028490401604,0.38636377511629405,8,True
Water-B,Water,2,2,6,OLS,0.3246243261098227,0.38636377511629405,8,True
Water-B,Water,2,2,7,OLS,-0.05212486588924725,0.38636377511629405,8,True
Water-B,Water,2,2,8,OLS,-0.07429981514406148,0.38636377511629405,8,True
Water-B,Water,2,2,1,OLS_raw,0.48343234589579553,0.40222787229250256,8,True
Water-B,Water,2,2,2,OLS_raw,0.5125423512921445,0.40222787229250256,8,True
Water-B,Water,2,2,3,OLS_raw,0.4966211319039998,0.40222787229250256,8,True
Water-B,Water,2,2,4,OLS_raw,0.2161975468401529,0.40222787229250256,8,True
Water-B,Water,2,2,5,OLS_raw,0.31379313661390495,0.40222787229250256,8,True
Water-B,Water,2,2,6,OLS_raw,0.3730868251328894,0.40222787229250256,8,True
Water-B,Water,2,2,7,OLS_raw,0.019243715214907975,0.40222787229250256,8,True
Water-B,Water,2,2,8,OLS_raw,-0.05397787143780963,0.40222787229250256,8,True
Water-B,Water,2,2,1,endpoint,0.47360546271233717,0.3404808390599581,8,True
Water-B,Water,2,2,2,endpoint,0.46475275627001833,0.3404808390599581,8,True
Water-B,Water,2,2,3,endpoint,0.4657246990188135,0.3404808390599581,8,True
Water-B,Water,2,2,4,endpoint,0.13489330448511228,0.3404808390599581,8,True
Water-B,Water,2,2,5,endpoint,0.22161226039582105,0.3404808390599581,8,True
Water-B,Water,2,2,6,endpoint,0.276277935365987,0.3404808390599581,8,True
Water-B,Water,2,2,7,endpoint,-0.1280452018667262,0.3404808390599581,8,True
Water-B,Water,2,2,8,endpoint,-0.18946342336186262,0.3404808390599581,8,True
Water-B,Water,2,2,1,persistence,0.5197557500959227,0.1793015407785965,8,True
Water-B,Water,2,2,2,persistence,0.36071249379507875,0.1793015407785965,8,True
Water-B,Water,2,2,3,persistence,0.3716934922252618,0.1793015407785965,8,True
Water-B,Water,2,2,4,persistence,-0.17315189804883402,0.1793015407785965,8,True
Water-B,Water,2,2,5,persistence,-0.02032497435063796,0.1793015407785965,8,True
Water-B,Water,2,2,6,persistence,0.062365661680080064,0.1793015407785965,8,True
Water-B,Water,2,2,7,persistence,-0.5097846948894122,0.1793015407785965,8,True
Water-B,Water,2,2,8,persistence,-0.6268291657209333,0.1793015407785965,8,True
Water-B,Water,2,3,1,OLS,0.7303883677210141,0.7898079924569478,8,True
Water-B,Water,2,3,2,OLS,0.8682043731967046,0.7898079924569478,8,True
Water-B,Water,2,3,3,OLS,-0.6897172444688013,0.7898079924569478,8,True
Water-B,Water,2,3,4,OLS,-0.3709874760287668,0.7898079924569478,8,True
Water-B,Water,2,3,5,OLS,-1.350447603610037,0.7898079924569478,8,True
Water-B,Water,2,3,6,OLS,-0.3934112727497956,0.7898079924569478,8,True
Water-B,Water,2,3,7,OLS,0.6946798692279779,0.7898079924569478,8,True
Water-B,Water,2,3,8,OLS,-0.3329409769303242,0.7898079924569478,8,True
Water-B,Water,2,3,1,OLS_raw,0.8089298875164903,0.831786339818265,8,True
Water-B,Water,2,3,2,OLS_raw,0.8488268391903433,0.831786339818265,8,True
Water-B,Water,2,3,3,OLS_raw,-1.4569377368037597,0.831786339818265,8,True
Water-B,Water,2,3,4,OLS_raw,-0.6291534508985541,0.831786339818265,8,True
Water-B,Water,2,3,5,OLS_raw,-0.6167669820222628,0.831786339818265,8,True
Water-B,Water,2,3,6,OLS_raw,-0.4261901168437634,0.831786339818265,8,True
Water-B,Water,2,3,7,OLS_raw,0.6975371331046519,0.831786339818265,8,True
Water-B,Water,2,3,8,OLS_raw,-0.8576558025295653,0.831786339818265,8,True
Water-B,Water,2,3,1,endpoint,0.8020635743398536,0.8294268185118274,8,True
Water-B,Water,2,3,2,endpoint,0.869150089320652,0.8294268185118274,8,True
Water-B,Water,2,3,3,endpoint,-0.26591178706318663,0.8294268185118274,8,True
Water-B,Water,2,3,4,endpoint,-0.37518831691938415,0.8294268185118274,8,True
Water-B,Water,2,3,5,endpoint,-0.7778010373921806,0.8294268185118274,8,True
Water-B,Water,2,3,6,endpoint,-0.4154740205793652,0.8294268185118274,8,True
Water-B,Water,2,3,7,endpoint,0.6882527354482044,0.8294268185118274,8,True
Water-B,Water,2,3,8,endpoint,-0.20770632882547768,0.8294268185118274,8,True
Water-B,Water,2,3,1,persistence,0.8798591016406744,0.8635560564853068,8,True
Water-B,Water,2,3,2,persistence,0.8563120633150448,0.8635560564853068,8,True
Water-B,Water,2,3,3,persistence,-0.36519480192755305,0.8635560564853068,8,True
Water-B,Water,2,3,4,persistence,-0.5796248915116096,0.8635560564853068,8,True
Water-B,Water,2,3,5,persistence,-0.9931380891381818,0.8635560564853068,8,True
Water-B,Water,2,3,6,persistence,-0.5735410999886501,0.8635560564853068,8,True
Water-B,Water,2,3,7,persistence,0.596186922679418,0.8635560564853068,8,True
Water-B,Water,2,3,8,persistence,-0.4604667929950741,0.8635560564853068,8,True
Water-B,Water,2,4,1,OLS,0.8049409581363686,0.8427443164299583,8,True
Water-B,Water,2,4,2,OLS,0.8621184393144922,0.8427443164299583,8,True
Water-B,Water,2,4,3,OLS,-0.3662888301064491,0.8427443164299583,8,True
Water-B,Water,2,4,4,OLS,0.7389252136841618,0.8427443164299583,8,True
Water-B,Water,2,4,5,OLS,0.7318505417688451,0.8427443164299583,8,True
Water-B,Water,2,4,6,OLS,0.7738355975088039,0.8427443164299583,8,True
Water-B,Water,2,4,7,OLS,0.8639207589994339,0.8427443164299583,8,True
Water-B,Water,2,4,8,OLS,0.7637682575964271,0.8427443164299583,8,True
Water-B,Water,2,4,1,OLS_raw,0.8402705853523831,0.8068566492954267,8,True
Water-B,Water,2,4,2,OLS_raw,0.8329474250218527,0.8068566492954267,8,True
Water-B,Water,2,4,3,OLS_raw,-1.2370104493707945,0.8068566492954267,8,True
Water-B,Water,2,4,4,OLS_raw,0.8143946720811671,0.8068566492954267,8,True
Water-B,Water,2,4,5,OLS_raw,0.7476092041261866,0.8068566492954267,8,True
Water-B,Water,2,4,6,OLS_raw,0.8259051138292823,0.8068566492954267,8,True
Water-B,Water,2,4,7,OLS_raw,0.8876668016792459,0.8068566492954267,8,True
